field,complete,missing,pct_complete
Fuel Econ City,21,51,29.2
Fuel Econ Hwy,21,51,29.2
Length,0,72,0
Width,0,72,0
Height,0,72,0
Weight,0,72,0
Wheelbase,0,72,0
Sales,0,72,0
